n,p0,p1,p2,p0_squared,E_deg_squared,E_L_n,E_L_n_upper_bound,E_L_n_lower_bound,E_L_n_harmonic_lower_bound,p1_over_p0sq_float,p2_over_p0sq_float
3,2/3,1/3,,4/9,2,7/6,7/6,10/9,7/6,0.7500000000,
4,1/2,17/90,11/45,1/4,79/30,73/60,39/32,9/8,29/24,0.7555555556,0.9777777778
5,2/5,919/7560,593/3780,4/25,1927/630,3113/2520,31/25,28/25,73/60,0.7597552910,0.9804894180
6,1/3,152767/1801800,147533/1351350,1/9,302917/90090,447833/360360,5/4,10/9,437/360,0.7630719281,0.9825707626
7,2/7,2798533/44767800,3596867/44767800,4/49,5356693/1492260,7434107/5969040,123/98,54/49,169/140,0.7657742674,0.9842257326
8,1/4,13493159041/281097016200,10821983992/175685635125,1/16,6301383679/1673196525,33356343659/26771144400,161/128,35/32,1343/1120,0.7680285888,0.9855771290
9,2/9,2022816831649/53201308960800,3888439719551/79801963441200,4/81,3711747274849/950023374300,4732904941151/3800093497200,34/27,88/81,3001/2520,0.7699442296,0.9867038469
10,1/5,91807849079576023/2974606786990238400,205652829619447817/5205561877232917200,1/25,166173018754331983/41313983152642200,205652829619447817/165255932610568800,63/50,27/25,29809/25200,0.7715965139,0.9876591349
11,2/11,108553325318744819813/4247828242888909278600,277612878580246932787/8495656485777818557200,4/121,194368037296298542613/47198091587654547540,234705522591470071387/188792366350618190160,305/242,130/121,32581/27720,0.7730392810,0.9884803595
12,1/6,9989960499458202548496697/464461990183251605093749200,28715205349146097875982403/1045039477912316111460935700,1/36,17730993669179062633392517/4222381728938650955397720,20974172179425237791086583/16889526915754603821590880,121/96,77/72,388631/332640,0.7743121839,0.9891945849
13,2/13,240951789813479633354738018027/13128217979199801737851431239400,768911131663428192633833615773/32820544947999504344628578098500,4/169,424563230082008328989023769627/99456196812119710135238115450,493493971260635149182404988373/397824787248478840540952461800,213/169,180/169,418661/360360,0.7754451621,0.9898219351
14,1/7,3150338430101697490653534433520049211/198807825835986445084215730677574017600,11050220558183048586790446329163809189/546721521048962723981593259363328548400,1/49,5517098261482488503560864560634025611/1274409139974272083873177760753679600,6316700895421466560975786074935856389/5097636559897088335492711043014718400,247/196,52/49,5830673/5045040,0.7764613009,0.9903777088
15,2/15,5038208056806132362946112671548272738337/364557447637298395424311312503970794181800,19265621785680427332007974828716446873783/1093672342911895186272933937511912382545400,4/225,8777258801804064623708279979281306524817/2003062899106035139694018200571268099900,9917994923185596680102556559383862407583/8012251596424140558776072802285072399600,63/50,238/225,6216773/5405400,0.7773787232,0.9908737589
16,1/8,9637793305612902585655719900271612195923052781/792610325311963896777372336862587358040320509600,39900352026384840962930051153640097681596979069/2575983557263882664526460094803408913631041656200,1/64,16714671210184008806882258622258999321283057331/3774334882437923317987487318393273133525335760,18669718312671522299250434987677936305516965419/15097339529751693271949949273573092534101343040,645/512,135/128,6601157/5765760,0.7782118802,0.9913194215
17,2/17,3958101386058430419254493635751846938017380413/367115453192411840480866903381854342417305826240,17636925272318736667855324210239584968882962307/1284904086173441441683034161836490198460570391840,4/289,6837438273842052697535802681884037858937426109/1529647721635049335336945430757726426738774276,7559246165076058693870742548776916745662802371/6118590886540197341347781723030905706955097104,364/289,304/289,13968079/12252240,0.7789724531,0.9917221563
18,1/9,5132105476696918997585261391836258098556342883447833922184817/533174989866976164056321715261681049732383101409989653333804800,24488727293690645672210389456034911331020496083773813485248783/1999406212001160615211206432231303936496436630287461200001768000,1/81,8834709572995364581309717747820154277253447754350539848114017/1960202168628588838442359247285592094604349637536726666668400,9678310908496863337312564032099326616232076600162989781531983/7840808674514355353769436989142368378417398550146906666673600,34/27,85/81,250430303/220540320,0.7796699986,0.9920880004
19,2/19,55156013601751497366636318434343406776725389874903895947341139888927/6379278480050961562131893178742979218573391065232500229508228242166000,280595485348299111166621217288971288937663613558385589816249820225073/25517113920203846248527572714971916874293564260930000918032912968664000,4/361,94656189948816274841137204990027488625477037337643835448940076372927/20847315294284188111542134571055487642396702827557190292510549811000,102844691786507612531367227788392920618281199976055862059054606047073/83389261177136752446168538284221950569586811310228761170042199244000,909/722,378/361,87787741/77597520,0.7803124198,0.9924218950
20,1/10,104516657864167491354703908142712891208680214603252330752455321058888555646509/13384020057259346248244693561376813423568417707380227596637328837198231043384000,564684344998799821057530769926127779969740670765759049079411120801022996522691/56882085243352221555039947635851457050165775256365967285708647558092481934382000,1/100,178872324848941637178285539039250743561838090755364706289329370154434283665309/39134561570933760959779805735019922291135724290585460808881078471339856852000,192906010074929091939622615443438518203951290005197171395040875323294356428691/156538246283735043839119222940079689164542897162341843235524313885359427408000,1007/800,209/200,1749648679/1551950400,0.7809063153,0.9927279258
21,2/21,11107436756254321272353189018054283717624313476339176326222045542197417944640060921/1567065779482679965998584087477316945479318767616403666512148900958896683527455511200,444603202533779739759722372699392329136402728204426987887161981524250302230004743953/49362572053704418928955398755535483782598541179916715495132690380205245531114848602800,4/441,132736821486154984555545449002777071829662080917405941880471824092185318016952549647/28867001200996736215763391085108470048303240456091646488381690280821781012347864680,142186999475718693689820180379208357201797351997752596104115702391831644005408066353/115468004803986944863053564340433880193212961824366585953526761123287124049391458720,185/147,460/441,366225215/325909584,0.7814572422,0.9930095017
22,1/11,68354453808959632053518303740528778730647846308333500074527173945593027776417464848346648835459/10576991163583260115540888825558384900602679112137127483795127371749297688279359157766167961336000,412417871808461282289249370148488716751292113334263203734342252043011412599917042322842803952541/50240708027020485548819221921402328277862725782651355548026855015809164019326955999389297816346000,1/121,116431686370701723487795071129430528278841842272593170455414116544453471814050915565465594114259/25183312294245857417954497203710440239530188362231255913797922313688804019712759899443257050800,123954476438008733683588765815078219462128137548705181449020596449848748374116338020129132279741/100733249176983429671817988814841760958120753448925023655191689254755216078851039597773028203200,609/484,126/121,127494581/113809696,0.7819699178,0.9932694910
23,2/23,822112680202064555327778906969286726661878497404224489155715175227658741320608170944748681831078677566659/138954090057465355597158406264803211252252704240913765416295447429490744799416941128263888038991734044496800,5219369496209472644548673539326505066914326034809417485465826017358895380393171878110202972038127150454941/694770450287326777985792031324016056261263521204568827081477237147453723997084705641319440194958670222484000,4/529,1397491935098401431506488663759362135573897976662666581976814336426378181483825318473791696485288756425859/300766428695812458002507372867539418294919273248731093974665470626603343721681690753817939478337086676400,1479404339383282949387060120191014908986199419629543882128681469567219019332260419171423376785761637870141/1203065714783249832010029491470157673179677092994924375898661882506413374886726763015271757913348346705600,1331/1058,550/529,132902893/118982864,0.7824483749,0.9935103250
